Training Log
20241118_230254
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0005
BATCH_SIZE: 64
GAMMA: 0.98
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1500
TARGET_UPDATE: 5
MEMORY_CAPACITY: 30000
NUM_EPISODES: 15000
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: {256, 128}
REWARD_GOAL: 200000
PENALTY_OFF_TRACK: -1000
PENALTY_OBSTACLE: -90
PENALTY_BORDER: 3000
PENALTY_BACKWARDS: -100
PENALTY_TIME_LIMIT: -25
DELTA_X_REWARD_FACTOR: 250
TIME_PENALTY: -1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 13501

Training Progress
-----------------
Episode 1: Reward = -1196.00, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 4.13, Steps = 5, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -250.00
Episode 2: Reward = 2463.65, Avg Reward (100) = -1196.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 4.46, Steps = 27, Reward Breakdown -> Delta_x Reward: 3837.65, Border Penalty: 1000.00, Obstacle Penalty: -1350.00
Episode 3: Reward = -1000.00, Avg Reward (100) = 633.83, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 4: Reward = -1000.00, Avg Reward (100) = 89.22, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 5: Reward = -1196.00, Avg Reward (100) = -183.09, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 4.27, Steps = 5, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -250.00
Episode 6: Reward = -38529.14, Avg Reward (100) = -385.67, Epsilon = 0.996, Avg Loss = 0.0000, Max Q-Value = 5.63, Steps = 12, Reward Breakdown -> Delta_x Reward: 1729.08, Border Penalty: -70326.81, Obstacle Penalty: -673.65
Episode 7: Reward = -1000.00, Avg Reward (100) = -6742.92, Epsilon = 0.996, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 8: Reward = -1000.00, Avg Reward (100) = -5922.50, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 9: Reward = -1000.00, Avg Reward (100) = -5307.19, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 10: Reward = -1000.00, Avg Reward (100) = -4828.61, Epsilon = 0.994, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 11: Reward = -1049.00, Avg Reward (100) = -4445.75, Epsilon = 0.993, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -100.00
Episode 12: Reward = -1000.00, Avg Reward (100) = -4136.95, Epsilon = 0.993, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 13: Reward = -1049.00, Avg Reward (100) = -3875.54, Epsilon = 0.992, Avg Loss = 0.0000, Max Q-Value = 3.98, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -100.00
Episode 14: Reward = -79.22, Avg Reward (100) = -3658.11, Epsilon = 0.992, Avg Loss = 593.8926, Max Q-Value = 31.26, Steps = 9, Reward Breakdown -> Delta_x Reward: 812.78, Border Penalty: 600.00, Obstacle Penalty: -450.00
Episode 15: Reward = -3793.49, Avg Reward (100) = -3402.48, Epsilon = 0.991, Avg Loss = 795.3717, Max Q-Value = 117.51, Steps = 14, Reward Breakdown -> Delta_x Reward: 622.85, Border Penalty: -4868.58, Obstacle Penalty: -1038.79
Episode 16: Reward = -1000.00, Avg Reward (100) = -3428.55, Epsilon = 0.990, Avg Loss = 498.2209, Max Q-Value = 119.36, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 17: Reward = -1000.00, Avg Reward (100) = -3276.76, Epsilon = 0.990, Avg Loss = 609.3594, Max Q-Value = 123.83, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 18: Reward = -71.93, Avg Reward (100) = -3142.84, Epsilon = 0.989, Avg Loss = 767.6289, Max Q-Value = 160.13, Steps = 10, Reward Breakdown -> Delta_x Reward: 969.07, Border Penalty: 500.00, Obstacle Penalty: -500.00
Episode 19: Reward = -1000.00, Avg Reward (100) = -2972.23, Epsilon = 0.989, Avg Loss = 927.0364, Max Q-Value = 166.53, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 20: Reward = -24321.51, Avg Reward (100) = -2868.43, Epsilon = 0.988, Avg Loss = 700.5715, Max Q-Value = 206.42, Steps = 15, Reward Breakdown -> Delta_x Reward: 808.29, Border Penalty: -41362.03, Obstacle Penalty: -945.57
Episode 21: Reward = -136895.05, Avg Reward (100) = -3941.08, Epsilon = 0.987, Avg Loss = 1015.1533, Max Q-Value = 290.66, Steps = 25, Reward Breakdown -> Delta_x Reward: 6904.87, Border Penalty: -171704.66, Obstacle Penalty: -1439.77
Episode 22: Reward = -458.19, Avg Reward (100) = -10272.22, Epsilon = 0.987, Avg Loss = 1976.8457, Max Q-Value = 278.73, Steps = 11, Reward Breakdown -> Delta_x Reward: 417.85, Border Penalty: 800.00, Obstacle Penalty: -686.05
Episode 23: Reward = -831.25, Avg Reward (100) = -9826.13, Epsilon = 0.986, Avg Loss = 1282.3998, Max Q-Value = 305.18, Steps = 6, Reward Breakdown -> Delta_x Reward: 213.75, Border Penalty: 300.00, Obstacle Penalty: -300.00
