Training Log
20241120_183955
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0005
BATCH_SIZE: 64
GAMMA: 0.98
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1500
TARGET_UPDATE: 5
MEMORY_CAPACITY: 30000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: {256, 128}
REWARD_GOAL: 200000
PENALTY_OFF_TRACK: -1000
PENALTY_OBSTACLE: -900
PENALTY_BORDER: -300
PENALTY_BACKWARDS: -100
PENALTY_TIME_LIMIT: -25
DELTA_X_REWARD_FACTOR: 2500
TIME_PENALTY: 1000
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = -1000.00, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 23.97, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 2: Reward = 158462.80, Avg Reward (100) = -1000.00, Epsilon = 0.999, Avg Loss = 741.6214, Max Q-Value = 129.47, Steps = 89, Reward Breakdown -> Delta_x Reward: 220534.00, Border Penalty: 39937.32, Obstacle Penalty: -5237.99
Episode 3: Reward = 108000.50, Avg Reward (100) = 78731.40, Epsilon = 0.998, Avg Loss = 2309.1041, Max Q-Value = 418.00, Steps = 31, Reward Breakdown -> Delta_x Reward: 117360.27, Border Penalty: 31739.80, Obstacle Penalty: -1762.28
Episode 4: Reward = 3195.76, Avg Reward (100) = 88487.77, Epsilon = 0.998, Avg Loss = 2401.2430, Max Q-Value = 953.66, Steps = 23, Reward Breakdown -> Delta_x Reward: 25762.30, Border Penalty: 3335.73, Obstacle Penalty: -1342.56
Episode 5: Reward = 95271.36, Avg Reward (100) = 67164.76, Epsilon = 0.997, Avg Loss = 2352.7836, Max Q-Value = 1191.51, Steps = 24, Reward Breakdown -> Delta_x Reward: 122397.98, Border Penalty: 8215.09, Obstacle Penalty: -1313.32
Episode 6: Reward = -1000.00, Avg Reward (100) = 72786.08, Epsilon = 0.996, Avg Loss = 2396.8071, Max Q-Value = 1462.67, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 7: Reward = -2862.50, Avg Reward (100) = 60488.40, Epsilon = 0.996, Avg Loss = 3086.3680, Max Q-Value = 1556.55, Steps = 5, Reward Breakdown -> Delta_x Reward: 2137.50, Border Penalty: 300.00, Obstacle Penalty: -250.00
Episode 8: Reward = -3781.88, Avg Reward (100) = 51438.27, Epsilon = 0.995, Avg Loss = 2729.2545, Max Q-Value = 1753.23, Steps = 8, Reward Breakdown -> Delta_x Reward: 4168.12, Border Penalty: 500.00, Obstacle Penalty: -400.00
Episode 9: Reward = 112293.56, Avg Reward (100) = 44535.76, Epsilon = 0.995, Avg Loss = 2660.9540, Max Q-Value = 2343.04, Steps = 37, Reward Breakdown -> Delta_x Reward: 144817.58, Border Penalty: 12650.39, Obstacle Penalty: -1950.00
Episode 10: Reward = -1000.00, Avg Reward (100) = 52064.40, Epsilon = 0.994, Avg Loss = 2503.4419, Max Q-Value = 2993.14, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 11: Reward = 21105.45, Avg Reward (100) = 46757.96, Epsilon = 0.993, Avg Loss = 2319.2451, Max Q-Value = 3960.17, Steps = 41, Reward Breakdown -> Delta_x Reward: 56008.64, Border Penalty: 12642.73, Obstacle Penalty: -3212.49
