Training Log
20241120_184243
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0005
BATCH_SIZE: 64
GAMMA: 0.98
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1500
TARGET_UPDATE: 5
MEMORY_CAPACITY: 30000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: {256, 128}
REWARD_GOAL: 200000
PENALTY_OFF_TRACK: -1000
PENALTY_OBSTACLE: -900
PENALTY_BORDER: -300
PENALTY_BACKWARDS: -100
PENALTY_TIME_LIMIT: -25
DELTA_X_REWARD_FACTOR: 2500
TIME_PENALTY: -1500
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = 3350.00, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 6.84, Steps = 4, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -200.00
Episode 2: Reward = 220604.64, Avg Reward (100) = 3350.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 7.68, Steps = 47, Reward Breakdown -> Delta_x Reward: 149729.64, Border Penalty: 15465.23, Obstacle Penalty: -2683.43
Episode 3: Reward = 3350.00, Avg Reward (100) = 111977.32, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 6.81, Steps = 4, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -200.00
Episode 4: Reward = 147883.22, Avg Reward (100) = 75768.21, Epsilon = 0.998, Avg Loss = 3380.5146, Max Q-Value = 180.96, Steps = 39, Reward Breakdown -> Delta_x Reward: 70771.66, Border Penalty: 27959.68, Obstacle Penalty: -2387.51
Episode 5: Reward = 78336.16, Avg Reward (100) = 93796.97, Epsilon = 0.997, Avg Loss = 3875.2451, Max Q-Value = 334.83, Steps = 19, Reward Breakdown -> Delta_x Reward: 46016.89, Border Penalty: 11185.98, Obstacle Penalty: -1090.54
Episode 6: Reward = 1900.00, Avg Reward (100) = 90704.80, Epsilon = 0.996, Avg Loss = 3748.4872, Max Q-Value = 403.66, Steps = 3, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -150.00
Episode 7: Reward = -1000.00, Avg Reward (100) = 75904.01, Epsilon = 0.996, Avg Loss = 4397.0186, Max Q-Value = 416.86, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 8: Reward = 450.00, Avg Reward (100) = 64917.72, Epsilon = 0.995, Avg Loss = 4101.5898, Max Q-Value = 444.11, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -100.00
Episode 9: Reward = -1000.00, Avg Reward (100) = 56859.25, Epsilon = 0.995, Avg Loss = 4253.6519, Max Q-Value = 457.05, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
Episode 10: Reward = 397265.00, Avg Reward (100) = 50430.45, Epsilon = 0.994, Avg Loss = 3062.9251, Max Q-Value = 4369.21, Steps = 116, Reward Breakdown -> Delta_x Reward: 226194.08, Border Penalty: 6838.49, Obstacle Penalty: -7217.61
Episode 11: Reward = -1000.00, Avg Reward (100) = 85113.90, Epsilon = 0.993, Avg Loss = 2135.1118, Max Q-Value = 4397.78, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 100.00, Obstacle Penalty: -50.00
