Training Log
20241120_185423
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0001
BATCH_SIZE: 64
GAMMA: 0.99
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1000
TARGET_UPDATE: 10
MEMORY_CAPACITY: 30000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: [256, 256, 128]
REWARD_GOAL: 100
PENALTY_OFF_TRACK: -100
PENALTY_OBSTACLE: -100
PENALTY_BORDER: -10
PENALTY_BACKWARDS: -50
PENALTY_TIME_LIMIT: -10
DELTA_X_REWARD_FACTOR: 1.0
TIME_PENALTY: -0.1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = -1013.03, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 6.11, Steps = 26, Reward Breakdown -> Delta_x Reward: 23.55, Border Penalty: 530.88, Obstacle Penalty: -1398.87
Episode 2: Reward = -150.10, Avg Reward (100) = -1013.03, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 6.11, Steps = 2, Reward Breakdown -> Delta_x Reward: -0.85, Border Penalty: 50.00, Obstacle Penalty: -100.00
Episode 3: Reward = -1011.81, Avg Reward (100) = -581.56, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 6.11, Steps = 20, Reward Breakdown -> Delta_x Reward: 32.44, Border Penalty: 333.62, Obstacle Penalty: -1192.32
Episode 4: Reward = -830.65, Avg Reward (100) = -724.98, Epsilon = 0.996, Avg Loss = 22.4094, Max Q-Value = 6.11, Steps = 31, Reward Breakdown -> Delta_x Reward: 20.61, Border Penalty: 1063.23, Obstacle Penalty: -1700.00
Episode 5: Reward = -100.00, Avg Reward (100) = -751.40, Epsilon = 0.995, Avg Loss = 41.8365, Max Q-Value = 0.00, Steps = 1, Reward Breakdown -> Delta_x Reward: -0.85, Border Penalty: 50.00, Obstacle Penalty: -50.00
Episode 6: Reward = -100.00, Avg Reward (100) = -621.12, Epsilon = 0.995, Avg Loss = 42.9455, Max Q-Value = 0.00, Steps = 1, Reward Breakdown -> Delta_x Reward: -0.85, Border Penalty: 50.00, Obstacle Penalty: -50.00
Episode 7: Reward = -299.44, Avg Reward (100) = -534.26, Epsilon = 0.994, Avg Loss = 36.4068, Max Q-Value = 0.00, Steps = 10, Reward Breakdown -> Delta_x Reward: -0.33, Border Penalty: 300.00, Obstacle Penalty: -500.00
Episode 8: Reward = -403.38, Avg Reward (100) = -500.72, Epsilon = 0.993, Avg Loss = 33.0761, Max Q-Value = 0.00, Steps = 7, Reward Breakdown -> Delta_x Reward: -0.85, Border Penalty: 50.00, Obstacle Penalty: -402.78
Episode 9: Reward = -1741.06, Avg Reward (100) = -488.55, Epsilon = 0.992, Avg Loss = 24.4928, Max Q-Value = 0.00, Steps = 79, Reward Breakdown -> Delta_x Reward: 32.44, Border Penalty: 2885.67, Obstacle Penalty: -4495.87
Episode 10: Reward = -700.27, Avg Reward (100) = -627.72, Epsilon = 0.991, Avg Loss = 26.5144, Max Q-Value = 0.00, Steps = 20, Reward Breakdown -> Delta_x Reward: -0.16, Border Penalty: 400.00, Obstacle Penalty: -1000.00
Episode 11: Reward = -100.00, Avg Reward (100) = -634.97, Epsilon = 0.990, Avg Loss = 24.7446, Max Q-Value = 0.00, Steps = 1, Reward Breakdown -> Delta_x Reward: -0.85, Border Penalty: 50.00, Obstacle Penalty: -50.00
