Training Log
20241120_191519
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0001
BATCH_SIZE: 64
GAMMA: 0.99
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1000
TARGET_UPDATE: 10
MEMORY_CAPACITY: 30000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: [256, 256, 128]
REWARD_GOAL: 100
PENALTY_OFF_TRACK: 100
PENALTY_OBSTACLE: 100
PENALTY_BORDER: 10
PENALTY_BACKWARDS: 50
PENALTY_TIME_LIMIT: 10
DELTA_X_REWARD_FACTOR: 1.0
TIME_PENALTY: 0.1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = -1102.06, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 3.00, Steps = 16, Reward Breakdown -> Delta_x Reward: 15.89, Border Penalty: 281.56, Obstacle Penalty: 900.00
Episode 2: Reward = -300.40, Avg Reward (100) = -1102.06, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 2.65, Steps = 5, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 50.00, Obstacle Penalty: 250.00
Episode 3: Reward = -2102.41, Avg Reward (100) = -701.23, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 2.65, Steps = 20, Reward Breakdown -> Delta_x Reward: 6.60, Border Penalty: 879.65, Obstacle Penalty: 1323.82
Episode 4: Reward = -6172.98, Avg Reward (100) = -1168.29, Epsilon = 0.996, Avg Loss = 39.2457, Max Q-Value = 2.65, Steps = 73, Reward Breakdown -> Delta_x Reward: 48.20, Border Penalty: 1957.21, Obstacle Penalty: 4277.94
Episode 5: Reward = -250.30, Avg Reward (100) = -2419.46, Epsilon = 0.995, Avg Loss = 38.8237, Max Q-Value = 0.00, Steps = 4, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 50.00, Obstacle Penalty: 200.00
Episode 6: Reward = -100.00, Avg Reward (100) = -1985.63, Epsilon = 0.995, Avg Loss = 38.4992, Max Q-Value = 0.00, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 7: Reward = -150.10, Avg Reward (100) = -1671.36, Epsilon = 0.994, Avg Loss = 35.9750, Max Q-Value = 0.00, Steps = 2, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 8: Reward = -897.75, Avg Reward (100) = -1454.04, Epsilon = 0.993, Avg Loss = 32.4694, Max Q-Value = 0.00, Steps = 11, Reward Breakdown -> Delta_x Reward: 3.25, Border Penalty: 350.00, Obstacle Penalty: 550.00
Episode 9: Reward = -249.35, Avg Reward (100) = -1384.50, Epsilon = 0.992, Avg Loss = 27.3945, Max Q-Value = 0.00, Steps = 3, Reward Breakdown -> Delta_x Reward: 0.85, Border Penalty: 100.00, Obstacle Penalty: 150.00
Episode 10: Reward = -100.00, Avg Reward (100) = -1258.37, Epsilon = 0.991, Avg Loss = 26.3738, Max Q-Value = 0.00, Steps = 1, Reward Breakdown -> Delta_x Reward: 0.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 11: Reward = -1209.36, Avg Reward (100) = -1142.53, Epsilon = 0.990, Avg Loss = 24.6082, Max Q-Value = 0.00, Steps = 16, Reward Breakdown -> Delta_x Reward: 24.79, Border Penalty: 334.03, Obstacle Penalty: 950.00
