Training Log
20241121_191645
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0001
BATCH_SIZE: 64
GAMMA: 0.99
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1000
TARGET_UPDATE: 10
MEMORY_CAPACITY: 100000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: [256, 256, 128]
REWARD_GOAL: 100
PENALTY_OFF_TRACK: 100
PENALTY_OBSTACLE: 100
PENALTY_BORDER: 10
PENALTY_BACKWARDS: 50
PENALTY_TIME_LIMIT: 10
DELTA_X_REWARD_FACTOR: 200.0
TIME_PENALTY: 1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = 4358.38, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.93, Steps = 18, Reward Breakdown -> Delta_x Reward: 6201.91, Border Penalty: 559.94, Obstacle Penalty: 1005.70
Episode 2: Reward = -100.00, Avg Reward (100) = 4358.38, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 0.42, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 3: Reward = 24680.60, Avg Reward (100) = 2129.19, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 0.85, Steps = 40, Reward Breakdown -> Delta_x Reward: 28112.23, Border Penalty: 404.39, Obstacle Penalty: 2574.43
Episode 4: Reward = 898.68, Avg Reward (100) = 9646.33, Epsilon = 0.996, Avg Loss = 259.0589, Max Q-Value = 3.77, Steps = 9, Reward Breakdown -> Delta_x Reward: 1906.68, Border Penalty: 350.00, Obstacle Penalty: 450.00
Episode 5: Reward = -100.00, Avg Reward (100) = 7459.41, Epsilon = 0.995, Avg Loss = 447.5475, Max Q-Value = 4.42, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 6: Reward = 3866.67, Avg Reward (100) = 5947.53, Epsilon = 0.995, Avg Loss = 418.8017, Max Q-Value = 19.79, Steps = 20, Reward Breakdown -> Delta_x Reward: 5766.74, Border Penalty: 500.00, Obstacle Penalty: 1181.07
Episode 7: Reward = 19014.51, Avg Reward (100) = 5600.72, Epsilon = 0.994, Avg Loss = 375.0310, Max Q-Value = 56.28, Steps = 48, Reward Breakdown -> Delta_x Reward: 23267.88, Border Penalty: 1054.65, Obstacle Penalty: 3051.88
Episode 8: Reward = 502.68, Avg Reward (100) = 7516.98, Epsilon = 0.993, Avg Loss = 329.8206, Max Q-Value = 92.14, Steps = 5, Reward Breakdown -> Delta_x Reward: 1106.68, Border Penalty: 150.00, Obstacle Penalty: 250.00
Episode 9: Reward = -100.00, Avg Reward (100) = 6640.19, Epsilon = 0.992, Avg Loss = 359.9365, Max Q-Value = 94.80, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 10: Reward = 21642.58, Avg Reward (100) = 5891.28, Epsilon = 0.991, Avg Loss = 316.6581, Max Q-Value = 125.00, Steps = 31, Reward Breakdown -> Delta_x Reward: 25297.24, Border Penalty: 458.19, Obstacle Penalty: 1910.80
Episode 11: Reward = -100.00, Avg Reward (100) = 7466.41, Epsilon = 0.990, Avg Loss = 323.6441, Max Q-Value = 183.37, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 12: Reward = 601.68, Avg Reward (100) = 6778.55, Epsilon = 0.989, Avg Loss = 480.9869, Max Q-Value = 205.59, Steps = 6, Reward Breakdown -> Delta_x Reward: 1306.68, Border Penalty: 200.00, Obstacle Penalty: 300.00
Episode 13: Reward = 4005.50, Avg Reward (100) = 6263.82, Epsilon = 0.988, Avg Loss = 402.7696, Max Q-Value = 317.59, Steps = 27, Reward Breakdown -> Delta_x Reward: 6695.65, Border Penalty: 838.29, Obstacle Penalty: 1636.27
Episode 14: Reward = 851.20, Avg Reward (100) = 6090.10, Epsilon = 0.987, Avg Loss = 324.4418, Max Q-Value = 355.01, Steps = 7, Reward Breakdown -> Delta_x Reward: 1607.20, Border Penalty: 200.00, Obstacle Penalty: 350.00
Episode 15: Reward = 1093.05, Avg Reward (100) = 5715.89, Epsilon = 0.986, Avg Loss = 313.7996, Max Q-Value = 408.24, Steps = 9, Reward Breakdown -> Delta_x Reward: 2101.05, Border Penalty: 300.00, Obstacle Penalty: 550.00
Episode 16: Reward = 29259.91, Avg Reward (100) = 5407.70, Epsilon = 0.986, Avg Loss = 269.2085, Max Q-Value = 471.07, Steps = 62, Reward Breakdown -> Delta_x Reward: 34916.37, Border Penalty: 742.66, Obstacle Penalty: 4369.10
Episode 17: Reward = 8876.23, Avg Reward (100) = 6898.47, Epsilon = 0.985, Avg Loss = 253.1479, Max Q-Value = 647.67, Steps = 22, Reward Breakdown -> Delta_x Reward: 10550.96, Border Penalty: 262.49, Obstacle Penalty: 1250.00
Episode 18: Reward = 198.00, Avg Reward (100) = 7014.80, Epsilon = 0.984, Avg Loss = 223.8805, Max Q-Value = 669.91, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 19: Reward = 49.00, Avg Reward (100) = 6636.09, Epsilon = 0.983, Avg Loss = 243.3395, Max Q-Value = 673.79, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 20: Reward = -100.00, Avg Reward (100) = 6289.40, Epsilon = 0.982, Avg Loss = 282.0663, Max Q-Value = 674.92, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
