Training Log
20241121_195309
-----------
Configuration: c:\Users\rasmu\OneDrive\Skrivebord\Dev\NN cartrack\config.py

Training Metrics
---------------
Configuration Items
--------------------
torch: <module 'torch' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\torch\\__init__.py'>
np: <module 'numpy' from 'C:\\Users\\rasmu\\OneDrive\\Skrivebord\\Dev\\NN cartrack\\.venv\\lib\\site-packages\\numpy\\__init__.py'>
DEVICE: cuda
TRACK_LENGTH: 300
TRACK_WIDTH: 50
MAX_TIMESTEPS: 1100
BORDER_THRESHOLD: 10.0
OBSTACLE_THRESHOLD: 1.0
OBSTACLES: [{'center': array([150.,  25.], dtype=float32), 'size': array([50., 30.], dtype=float32)}, {'center': array([225.,  45.], dtype=float32), 'size': array([30., 20.], dtype=float32)}, {'center': array([225.,   5.], dtype=float32), 'size': array([30., 20.], dtype=float32)}]
LEARNING_RATE: 0.0001
BATCH_SIZE: 64
GAMMA: 0.99
EPS_START: 1.0
EPS_END: 0.1
EPS_DECAY: 1000
TARGET_UPDATE: 10
MEMORY_CAPACITY: 100000
NUM_EPISODES: 1500
MAX_SPEED: 4.0
ACCELERATION: 0.9
STEERING: 0.8
HIDDEN_LAYERS: [256, 128, 256, 128]
REWARD_GOAL: 100
PENALTY_OFF_TRACK: 100
PENALTY_OBSTACLE: 100
PENALTY_BORDER: 10
PENALTY_BACKWARDS: 50
PENALTY_TIME_LIMIT: 10
DELTA_X_REWARD_FACTOR: 200.0
TIME_PENALTY: 1
STATE_SIZE: 12
ACTION_SIZE: 4
PROCENTAGE_TO_DRAW: 0.9
DRAW_BEST_TRAJECTORIES: 1351

Training Progress
-----------------
Episode 1: Reward = 496.00, Avg Reward (100) = 0.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.81, Steps = 5, Reward Breakdown -> Delta_x Reward: 1000.00, Border Penalty: 50.00, Obstacle Penalty: 250.00
Episode 2: Reward = 6947.58, Avg Reward (100) = 496.00, Epsilon = 0.998, Avg Loss = 0.0000, Max Q-Value = 1.01, Steps = 33, Reward Breakdown -> Delta_x Reward: 10532.89, Border Penalty: 1362.09, Obstacle Penalty: 1980.05
Episode 3: Reward = 1000.20, Avg Reward (100) = 3721.79, Epsilon = 0.997, Avg Loss = 0.0000, Max Q-Value = 0.75, Steps = 8, Reward Breakdown -> Delta_x Reward: 1807.20, Border Penalty: 200.00, Obstacle Penalty: 400.00
Episode 4: Reward = 1638.60, Avg Reward (100) = 2814.60, Epsilon = 0.996, Avg Loss = 0.0000, Max Q-Value = 1.11, Steps = 13, Reward Breakdown -> Delta_x Reward: 3172.61, Border Penalty: 681.94, Obstacle Penalty: 759.30
Episode 5: Reward = 49.00, Avg Reward (100) = 2520.60, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 0.75, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 6: Reward = -100.00, Avg Reward (100) = 2026.28, Epsilon = 0.995, Avg Loss = 0.0000, Max Q-Value = 0.73, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 7: Reward = -100.00, Avg Reward (100) = 1671.90, Epsilon = 0.994, Avg Loss = 0.0000, Max Q-Value = 0.73, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 8: Reward = 347.00, Avg Reward (100) = 1418.77, Epsilon = 0.993, Avg Loss = 178.2651, Max Q-Value = 1.94, Steps = 4, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 50.00, Obstacle Penalty: 200.00
Episode 9: Reward = 19692.69, Avg Reward (100) = 1284.80, Epsilon = 0.992, Avg Loss = 212.1481, Max Q-Value = 17.95, Steps = 53, Reward Breakdown -> Delta_x Reward: 24605.72, Border Penalty: 739.47, Obstacle Penalty: 3219.95
Episode 10: Reward = 2332.52, Avg Reward (100) = 3330.12, Epsilon = 0.991, Avg Loss = 232.8653, Max Q-Value = 47.71, Steps = 15, Reward Breakdown -> Delta_x Reward: 4404.92, Border Penalty: 629.70, Obstacle Penalty: 875.29
Episode 11: Reward = 1840.39, Avg Reward (100) = 3230.36, Epsilon = 0.990, Avg Loss = 207.1568, Max Q-Value = 80.21, Steps = 16, Reward Breakdown -> Delta_x Reward: 3505.39, Border Penalty: 650.00, Obstacle Penalty: 800.00
