Episode 1: Reward = -100.00, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 0.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 2: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 0.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 3: Reward = 6436.74, Avg Reward (100) = -100.00, Epsilon = 0.999, Avg Loss = 0.0000, Max Q-Value = 0.60, Steps = 24, Reward Breakdown -> Delta_x Reward: 9586.73, Border Penalty: 711.30, Obstacle Penalty: 1534.01
Episode 4: Reward = 37220.01, Avg Reward (100) = 2078.91, Epsilon = 0.999, Avg Loss = 158.1195, Max Q-Value = 600.37, Steps = 61, Reward Breakdown -> Delta_x Reward: 42089.38, Border Penalty: 416.26, Obstacle Penalty: 3984.48
Episode 5: Reward = 4410.48, Avg Reward (100) = 10864.19, Epsilon = 0.999, Avg Loss = 265.9282, Max Q-Value = 933.69, Steps = 24, Reward Breakdown -> Delta_x Reward: 6713.45, Border Penalty: 795.82, Obstacle Penalty: 1396.79
Episode 6: Reward = 198.00, Avg Reward (100) = 9573.45, Epsilon = 0.999, Avg Loss = 222.2813, Max Q-Value = 330.29, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 7: Reward = 49.00, Avg Reward (100) = 8010.87, Epsilon = 0.999, Avg Loss = 225.3295, Max Q-Value = 333.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 8: Reward = 602.88, Avg Reward (100) = 6873.46, Epsilon = 0.999, Avg Loss = 187.8198, Max Q-Value = 354.24, Steps = 5, Reward Breakdown -> Delta_x Reward: 1206.88, Border Penalty: 150.00, Obstacle Penalty: 250.00
Episode 9: Reward = 42476.12, Avg Reward (100) = 6089.64, Epsilon = 0.998, Avg Loss = 205.9021, Max Q-Value = 1224.31, Steps = 95, Reward Breakdown -> Delta_x Reward: 49739.22, Border Penalty: 1320.20, Obstacle Penalty: 5847.90
Episode 10: Reward = 11741.05, Avg Reward (100) = 10132.58, Epsilon = 0.998, Avg Loss = 197.3882, Max Q-Value = 842.20, Steps = 20, Reward Breakdown -> Delta_x Reward: 14059.62, Border Penalty: 405.22, Obstacle Penalty: 1116.97
Episode 11: Reward = 1545.96, Avg Reward (100) = 10293.43, Epsilon = 0.998, Avg Loss = 198.9513, Max Q-Value = 365.93, Steps = 10, Reward Breakdown -> Delta_x Reward: 2454.96, Border Penalty: 200.00, Obstacle Penalty: 500.00
Episode 12: Reward = 11013.45, Avg Reward (100) = 9498.20, Epsilon = 0.998, Avg Loss = 347.0785, Max Q-Value = 2283.40, Steps = 22, Reward Breakdown -> Delta_x Reward: 12782.70, Border Penalty: 425.31, Obstacle Penalty: 1243.34
Episode 13: Reward = 1341.05, Avg Reward (100) = 9624.47, Epsilon = 0.998, Avg Loss = 234.6074, Max Q-Value = 934.80, Steps = 11, Reward Breakdown -> Delta_x Reward: 2501.05, Border Penalty: 400.00, Obstacle Penalty: 550.00
Episode 14: Reward = 347.00, Avg Reward (100) = 8987.29, Epsilon = 0.997, Avg Loss = 206.5262, Max Q-Value = 732.29, Steps = 4, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 50.00, Obstacle Penalty: 200.00
Episode 15: Reward = 15040.22, Avg Reward (100) = 8370.12, Epsilon = 0.997, Avg Loss = 183.8799, Max Q-Value = 2414.04, Steps = 39, Reward Breakdown -> Delta_x Reward: 18294.68, Border Penalty: 403.23, Obstacle Penalty: 2100.00
Episode 16: Reward = -100.00, Avg Reward (100) = 8814.80, Epsilon = 0.997, Avg Loss = 201.1932, Max Q-Value = 629.20, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 17: Reward = 4738.33, Avg Reward (100) = 8257.62, Epsilon = 0.997, Avg Loss = 186.1349, Max Q-Value = 1731.11, Steps = 27, Reward Breakdown -> Delta_x Reward: 7311.72, Border Penalty: 950.76, Obstacle Penalty: 1500.00
Episode 18: Reward = 6232.54, Avg Reward (100) = 8050.60, Epsilon = 0.997, Avg Loss = 191.0457, Max Q-Value = 2538.58, Steps = 13, Reward Breakdown -> Delta_x Reward: 8058.05, Border Penalty: 319.49, Obstacle Penalty: 789.51
Episode 19: Reward = 7377.65, Avg Reward (100) = 7949.60, Epsilon = 0.997, Avg Loss = 188.2259, Max Q-Value = 1970.04, Steps = 42, Reward Breakdown -> Delta_x Reward: 11391.78, Border Penalty: 1523.48, Obstacle Penalty: 2350.32
Episode 20: Reward = 4455.94, Avg Reward (100) = 7919.50, Epsilon = 0.996, Avg Loss = 192.6653, Max Q-Value = 1002.44, Steps = 25, Reward Breakdown -> Delta_x Reward: 6913.20, Border Penalty: 893.50, Obstacle Penalty: 1426.60
Episode 21: Reward = 7376.05, Avg Reward (100) = 7746.32, Epsilon = 0.996, Avg Loss = 160.4772, Max Q-Value = 2264.55, Steps = 34, Reward Breakdown -> Delta_x Reward: 11129.88, Border Penalty: 1327.17, Obstacle Penalty: 1919.14
Episode 22: Reward = 2912.62, Avg Reward (100) = 7728.69, Epsilon = 0.996, Avg Loss = 349.5723, Max Q-Value = 1871.75, Steps = 20, Reward Breakdown -> Delta_x Reward: 4731.62, Border Penalty: 600.00, Obstacle Penalty: 1000.00
Episode 23: Reward = 452.68, Avg Reward (100) = 7509.78, Epsilon = 0.996, Avg Loss = 274.7581, Max Q-Value = 1126.08, Steps = 5, Reward Breakdown -> Delta_x Reward: 1106.68, Border Penalty: 200.00, Obstacle Penalty: 250.00
Episode 24: Reward = 2314.66, Avg Reward (100) = 7202.95, Epsilon = 0.996, Avg Loss = 235.3144, Max Q-Value = 1097.66, Steps = 16, Reward Breakdown -> Delta_x Reward: 4036.27, Border Penalty: 666.25, Obstacle Penalty: 957.00
Episode 25: Reward = 2058.55, Avg Reward (100) = 6999.27, Epsilon = 0.996, Avg Loss = 214.0375, Max Q-Value = 1488.23, Steps = 15, Reward Breakdown -> Delta_x Reward: 3694.14, Border Penalty: 454.46, Obstacle Penalty: 999.30
Episode 26: Reward = 49.00, Avg Reward (100) = 6801.64, Epsilon = 0.995, Avg Loss = 240.6545, Max Q-Value = 806.95, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 27: Reward = -100.00, Avg Reward (100) = 6541.92, Epsilon = 0.995, Avg Loss = 238.0076, Max Q-Value = 826.10, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 28: Reward = 198.00, Avg Reward (100) = 6295.93, Epsilon = 0.995, Avg Loss = 198.9038, Max Q-Value = 1284.19, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 29: Reward = 198.00, Avg Reward (100) = 6078.14, Epsilon = 0.995, Avg Loss = 251.6911, Max Q-Value = 1250.96, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 30: Reward = 23911.78, Avg Reward (100) = 5875.38, Epsilon = 0.995, Avg Loss = 192.7735, Max Q-Value = 3790.96, Steps = 62, Reward Breakdown -> Delta_x Reward: 30321.39, Border Penalty: 2899.28, Obstacle Penalty: 3356.50
Episode 31: Reward = 15337.44, Avg Reward (100) = 6476.59, Epsilon = 0.994, Avg Loss = 172.9632, Max Q-Value = 3312.37, Steps = 73, Reward Breakdown -> Delta_x Reward: 20570.81, Border Penalty: 1300.00, Obstacle Penalty: 3661.37
Episode 32: Reward = 347.00, Avg Reward (100) = 6762.43, Epsilon = 0.994, Avg Loss = 456.4475, Max Q-Value = 1242.77, Steps = 4, Reward Breakdown -> Delta_x Reward: 800.00, Border Penalty: 50.00, Obstacle Penalty: 200.00
Episode 33: Reward = 8187.43, Avg Reward (100) = 6561.94, Epsilon = 0.994, Avg Loss = 301.9452, Max Q-Value = 4034.76, Steps = 30, Reward Breakdown -> Delta_x Reward: 11556.57, Border Penalty: 810.41, Obstacle Penalty: 1738.73
Episode 34: Reward = 943.00, Avg Reward (100) = 6611.20, Epsilon = 0.994, Avg Loss = 252.3332, Max Q-Value = 1697.64, Steps = 8, Reward Breakdown -> Delta_x Reward: 1600.00, Border Penalty: 50.00, Obstacle Penalty: 400.00
Episode 35: Reward = 7609.91, Avg Reward (100) = 6444.49, Epsilon = 0.994, Avg Loss = 239.2929, Max Q-Value = 2808.86, Steps = 24, Reward Breakdown -> Delta_x Reward: 9879.15, Border Penalty: 579.55, Obstacle Penalty: 1383.62
Episode 36: Reward = 701.88, Avg Reward (100) = 6477.79, Epsilon = 0.994, Avg Loss = 250.4427, Max Q-Value = 2024.17, Steps = 6, Reward Breakdown -> Delta_x Reward: 1406.88, Border Penalty: 200.00, Obstacle Penalty: 300.00
Episode 37: Reward = -100.00, Avg Reward (100) = 6317.34, Epsilon = 0.993, Avg Loss = 327.6959, Max Q-Value = 1681.90, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 38: Reward = 3317.30, Avg Reward (100) = 6143.90, Epsilon = 0.993, Avg Loss = 265.2343, Max Q-Value = 1591.65, Steps = 15, Reward Breakdown -> Delta_x Reward: 4891.08, Border Penalty: 586.68, Obstacle Penalty: 884.61
Episode 39: Reward = 3933.90, Avg Reward (100) = 6069.52, Epsilon = 0.993, Avg Loss = 241.4107, Max Q-Value = 2351.41, Steps = 14, Reward Breakdown -> Delta_x Reward: 5596.31, Border Penalty: 217.31, Obstacle Penalty: 798.80
Episode 40: Reward = -100.00, Avg Reward (100) = 6014.76, Epsilon = 0.993, Avg Loss = 217.6484, Max Q-Value = 1282.14, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 41: Reward = -100.00, Avg Reward (100) = 5861.89, Epsilon = 0.993, Avg Loss = 226.0748, Max Q-Value = 1451.33, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 42: Reward = 353.68, Avg Reward (100) = 5716.48, Epsilon = 0.992, Avg Loss = 533.8493, Max Q-Value = 2493.34, Steps = 4, Reward Breakdown -> Delta_x Reward: 906.68, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 43: Reward = 1148.75, Avg Reward (100) = 5588.79, Epsilon = 0.992, Avg Loss = 375.6501, Max Q-Value = 2835.72, Steps = 12, Reward Breakdown -> Delta_x Reward: 2606.88, Border Penalty: 653.69, Obstacle Penalty: 700.00
Episode 44: Reward = 4624.23, Avg Reward (100) = 5485.54, Epsilon = 0.992, Avg Loss = 294.2855, Max Q-Value = 3692.36, Steps = 28, Reward Breakdown -> Delta_x Reward: 7657.01, Border Penalty: 972.72, Obstacle Penalty: 1530.63
Episode 45: Reward = -100.00, Avg Reward (100) = 5465.96, Epsilon = 0.992, Avg Loss = 206.1683, Max Q-Value = 1781.33, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 46: Reward = 452.68, Avg Reward (100) = 5342.27, Epsilon = 0.992, Avg Loss = 222.6198, Max Q-Value = 2731.18, Steps = 5, Reward Breakdown -> Delta_x Reward: 1106.68, Border Penalty: 200.00, Obstacle Penalty: 250.00
Episode 47: Reward = 13303.70, Avg Reward (100) = 5235.98, Epsilon = 0.992, Avg Loss = 236.9501, Max Q-Value = 6155.16, Steps = 31, Reward Breakdown -> Delta_x Reward: 15472.66, Border Penalty: 245.29, Obstacle Penalty: 1672.21
Episode 48: Reward = -100.00, Avg Reward (100) = 5407.63, Epsilon = 0.991, Avg Loss = 229.2360, Max Q-Value = 2164.76, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 49: Reward = 452.68, Avg Reward (100) = 5292.89, Epsilon = 0.991, Avg Loss = 207.3956, Max Q-Value = 2643.95, Steps = 5, Reward Breakdown -> Delta_x Reward: 1106.68, Border Penalty: 200.00, Obstacle Penalty: 250.00
Episode 50: Reward = 198.00, Avg Reward (100) = 5194.11, Epsilon = 0.991, Avg Loss = 264.9463, Max Q-Value = 1937.95, Steps = 3, Reward Breakdown -> Delta_x Reward: 600.00, Border Penalty: 50.00, Obstacle Penalty: 150.00
Episode 51: Reward = -100.00, Avg Reward (100) = 5094.19, Epsilon = 0.991, Avg Loss = 107.1032, Max Q-Value = 2103.51, Steps = 1, Reward Breakdown -> Delta_x Reward: 200.00, Border Penalty: 50.00, Obstacle Penalty: 50.00
Episode 52: Reward = 49.00, Avg Reward (100) = 4992.34, Epsilon = 0.991, Avg Loss = 769.5961, Max Q-Value = 2597.46, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 53: Reward = 49.00, Avg Reward (100) = 4897.28, Epsilon = 0.990, Avg Loss = 435.4532, Max Q-Value = 3217.62, Steps = 2, Reward Breakdown -> Delta_x Reward: 400.00, Border Penalty: 50.00, Obstacle Penalty: 100.00
Episode 54: Reward = 11626.54, Avg Reward (100) = 4805.80, Epsilon = 0.990, Avg Loss = 393.8540, Max Q-Value = 6877.14, Steps = 56, Reward Breakdown -> Delta_x Reward: 16440.37, Border Penalty: 1556.22, Obstacle Penalty: 3102.82
