Episode 1: Reward = 2300.00, Avg Reward (100) = 0.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.18, Steps = 5, Reward Breakdown -> Delta_x Reward: 9000.00, Border Penalty: 150.00, Obstacle Penalty: 1000.00
Episode 2: Reward = 29826.32, Avg Reward (100) = 2300.00, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.18, Steps = 27, Reward Breakdown -> Delta_x Reward: 65026.32, Border Penalty: 2250.00, Obstacle Penalty: 5400.00
Episode 3: Reward = -100.00, Avg Reward (100) = 16063.16, Epsilon = 1.000, Avg Loss = 0.0000, Max Q-Value = 1.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 4: Reward = 140301.62, Avg Reward (100) = 10675.44, Epsilon = 1.000, Avg Loss = 1065.4059, Max Q-Value = 1.38, Steps = 82, Reward Breakdown -> Delta_x Reward: 246265.88, Border Penalty: 6150.00, Obstacle Penalty: 17464.24
Episode 5: Reward = 500.00, Avg Reward (100) = 43081.99, Epsilon = 1.000, Avg Loss = 1237.2312, Max Q-Value = 1.41, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 6: Reward = -100.00, Avg Reward (100) = 34565.59, Epsilon = 0.999, Avg Loss = 1229.8075, Max Q-Value = 1.42, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 7: Reward = 371620.16, Avg Reward (100) = 28787.99, Epsilon = 0.999, Avg Loss = 2439.3424, Max Q-Value = 1.46, Steps = 85, Reward Breakdown -> Delta_x Reward: 486749.23, Border Penalty: 2250.00, Obstacle Penalty: 27879.05
Episode 8: Reward = -100.00, Avg Reward (100) = 77764.01, Epsilon = 0.999, Avg Loss = 2272.2632, Max Q-Value = 2.43, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 9: Reward = 500.00, Avg Reward (100) = 68031.01, Epsilon = 0.999, Avg Loss = 2515.1561, Max Q-Value = 2.45, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 10: Reward = 3544.43, Avg Reward (100) = 60527.57, Epsilon = 0.999, Avg Loss = 2423.0578, Max Q-Value = 2.51, Steps = 6, Reward Breakdown -> Delta_x Reward: 11894.43, Border Penalty: 600.00, Obstacle Penalty: 1200.00
Episode 11: Reward = 31467.28, Avg Reward (100) = 54829.25, Epsilon = 0.999, Avg Loss = 2582.8546, Max Q-Value = 2.65, Steps = 20, Reward Breakdown -> Delta_x Reward: 57237.01, Border Penalty: 1200.00, Obstacle Penalty: 4070.98
Episode 12: Reward = 288776.28, Avg Reward (100) = 52705.44, Epsilon = 0.999, Avg Loss = 2806.9818, Max Q-Value = 2.78, Steps = 68, Reward Breakdown -> Delta_x Reward: 378878.06, Border Penalty: 1935.30, Obstacle Penalty: 19436.88
Episode 13: Reward = 500.00, Avg Reward (100) = 72378.01, Epsilon = 0.999, Avg Loss = 3004.8721, Max Q-Value = 3.49, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 14: Reward = 500.00, Avg Reward (100) = 66848.93, Epsilon = 0.999, Avg Loss = 2646.7190, Max Q-Value = 3.52, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 15: Reward = 195915.47, Avg Reward (100) = 62109.72, Epsilon = 0.999, Avg Loss = 2719.6742, Max Q-Value = 3.94, Steps = 109, Reward Breakdown -> Delta_x Reward: 345090.06, Border Penalty: 5559.25, Obstacle Penalty: 32824.50
Episode 16: Reward = -100.00, Avg Reward (100) = 71030.10, Epsilon = 0.999, Avg Loss = 2858.1802, Max Q-Value = 4.85, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 17: Reward = -100.00, Avg Reward (100) = 66584.47, Epsilon = 0.998, Avg Loss = 2780.7944, Max Q-Value = 4.87, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 18: Reward = 500.00, Avg Reward (100) = 62661.86, Epsilon = 0.998, Avg Loss = 2393.9302, Max Q-Value = 4.89, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 19: Reward = 500.00, Avg Reward (100) = 59208.42, Epsilon = 0.998, Avg Loss = 3059.3337, Max Q-Value = 4.92, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 20: Reward = 500.00, Avg Reward (100) = 56118.50, Epsilon = 0.998, Avg Loss = 2267.3593, Max Q-Value = 4.94, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 21: Reward = 1700.00, Avg Reward (100) = 53337.58, Epsilon = 0.998, Avg Loss = 2433.4894, Max Q-Value = 4.98, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 800.00
Episode 22: Reward = 500.00, Avg Reward (100) = 50878.65, Epsilon = 0.998, Avg Loss = 2254.6219, Max Q-Value = 5.02, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 23: Reward = 1700.00, Avg Reward (100) = 48588.71, Epsilon = 0.998, Avg Loss = 2181.8987, Max Q-Value = 5.08, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 800.00
Episode 24: Reward = 143156.44, Avg Reward (100) = 46550.07, Epsilon = 0.998, Avg Loss = 2278.2284, Max Q-Value = 7.11, Steps = 146, Reward Breakdown -> Delta_x Reward: 334173.15, Border Penalty: 10500.00, Obstacle Penalty: 34146.40
Episode 25: Reward = -100.00, Avg Reward (100) = 50575.33, Epsilon = 0.998, Avg Loss = 1804.1056, Max Q-Value = 7.27, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 26: Reward = -100.00, Avg Reward (100) = 48548.32, Epsilon = 0.998, Avg Loss = 1728.7137, Max Q-Value = 7.29, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 27: Reward = 6590.76, Avg Reward (100) = 46677.23, Epsilon = 0.998, Avg Loss = 2086.8782, Max Q-Value = 7.39, Steps = 8, Reward Breakdown -> Delta_x Reward: 17490.76, Border Penalty: 750.00, Obstacle Penalty: 1600.00
Episode 28: Reward = 500.00, Avg Reward (100) = 45192.55, Epsilon = 0.997, Avg Loss = 2135.7706, Max Q-Value = 7.45, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 29: Reward = 235466.44, Avg Reward (100) = 43596.38, Epsilon = 0.997, Avg Loss = 2120.8680, Max Q-Value = 7.47, Steps = 101, Reward Breakdown -> Delta_x Reward: 371071.97, Border Penalty: 5971.20, Obstacle Penalty: 27328.57
Episode 30: Reward = 3694.43, Avg Reward (100) = 50212.59, Epsilon = 0.997, Avg Loss = 2158.4744, Max Q-Value = 9.41, Steps = 6, Reward Breakdown -> Delta_x Reward: 11894.43, Border Penalty: 450.00, Obstacle Penalty: 1200.00
Episode 31: Reward = 478890.44, Avg Reward (100) = 48661.99, Epsilon = 0.997, Avg Loss = 2146.9852, Max Q-Value = 10.28, Steps = 121, Reward Breakdown -> Delta_x Reward: 637950.49, Border Penalty: 7491.13, Obstacle Penalty: 30568.82
Episode 32: Reward = 7634.35, Avg Reward (100) = 62540.32, Epsilon = 0.997, Avg Loss = 2310.7168, Max Q-Value = 12.07, Steps = 10, Reward Breakdown -> Delta_x Reward: 21084.35, Border Penalty: 900.00, Obstacle Penalty: 2000.00
Episode 33: Reward = -100.00, Avg Reward (100) = 60824.51, Epsilon = 0.997, Avg Loss = 2603.9355, Max Q-Value = 12.14, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 34: Reward = -100.00, Avg Reward (100) = 58978.32, Epsilon = 0.997, Avg Loss = 2345.6479, Max Q-Value = 12.16, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 35: Reward = 5020.92, Avg Reward (100) = 57240.72, Epsilon = 0.997, Avg Loss = 2550.1066, Max Q-Value = 12.28, Steps = 7, Reward Breakdown -> Delta_x Reward: 14720.92, Border Penalty: 750.00, Obstacle Penalty: 1400.00
Episode 36: Reward = 4444.43, Avg Reward (100) = 55748.72, Epsilon = 0.997, Avg Loss = 2445.7200, Max Q-Value = 12.43, Steps = 7, Reward Breakdown -> Delta_x Reward: 13694.43, Border Penalty: 300.00, Obstacle Penalty: 1400.00
Episode 37: Reward = 500.00, Avg Reward (100) = 54323.60, Epsilon = 0.997, Avg Loss = 2841.9449, Max Q-Value = 12.53, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 38: Reward = 500.00, Avg Reward (100) = 52868.91, Epsilon = 0.997, Avg Loss = 2575.0742, Max Q-Value = 12.57, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 39: Reward = 1100.00, Avg Reward (100) = 51490.78, Epsilon = 0.996, Avg Loss = 2355.1426, Max Q-Value = 12.64, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 40: Reward = 1100.00, Avg Reward (100) = 50198.71, Epsilon = 0.996, Avg Loss = 2331.8375, Max Q-Value = 12.71, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 41: Reward = -100.00, Avg Reward (100) = 48971.24, Epsilon = 0.996, Avg Loss = 2060.1895, Max Q-Value = 12.73, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 42: Reward = 1100.00, Avg Reward (100) = 47774.38, Epsilon = 0.996, Avg Loss = 2747.3235, Max Q-Value = 12.80, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 43: Reward = 5174.28, Avg Reward (100) = 46663.09, Epsilon = 0.996, Avg Loss = 2515.1945, Max Q-Value = 12.90, Steps = 7, Reward Breakdown -> Delta_x Reward: 14724.28, Border Penalty: 600.00, Obstacle Penalty: 1400.00
Episode 44: Reward = 442756.58, Avg Reward (100) = 45698.23, Epsilon = 0.996, Avg Loss = 2346.4043, Max Q-Value = 13.34, Steps = 48, Reward Breakdown -> Delta_x Reward: 502656.58, Border Penalty: 1500.00, Obstacle Penalty: 10400.00
Episode 45: Reward = -100.00, Avg Reward (100) = 54722.29, Epsilon = 0.996, Avg Loss = 2738.1841, Max Q-Value = 14.15, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 46: Reward = 241911.14, Avg Reward (100) = 53504.01, Epsilon = 0.996, Avg Loss = 2594.4809, Max Q-Value = 14.20, Steps = 84, Reward Breakdown -> Delta_x Reward: 350549.79, Border Penalty: 1886.60, Obstacle Penalty: 22752.08
Episode 47: Reward = -100.00, Avg Reward (100) = 57599.82, Epsilon = 0.996, Avg Loss = 2497.0203, Max Q-Value = 16.46, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 48: Reward = 344998.09, Avg Reward (100) = 56372.16, Epsilon = 0.996, Avg Loss = 2690.9363, Max Q-Value = 16.51, Steps = 50, Reward Breakdown -> Delta_x Reward: 410127.29, Border Penalty: 150.00, Obstacle Penalty: 14979.20
Episode 49: Reward = 2900.00, Avg Reward (100) = 62385.21, Epsilon = 0.996, Avg Loss = 2850.0450, Max Q-Value = 18.09, Steps = 6, Reward Breakdown -> Delta_x Reward: 10800.00, Border Penalty: 150.00, Obstacle Penalty: 1200.00
Episode 50: Reward = -100.00, Avg Reward (100) = 61171.22, Epsilon = 0.995, Avg Loss = 2996.3281, Max Q-Value = 18.12, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 51: Reward = 7034.35, Avg Reward (100) = 59945.80, Epsilon = 0.995, Avg Loss = 2774.1999, Max Q-Value = 18.34, Steps = 9, Reward Breakdown -> Delta_x Reward: 19284.35, Border Penalty: 900.00, Obstacle Penalty: 1800.00
Episode 52: Reward = -100.00, Avg Reward (100) = 58908.32, Epsilon = 0.995, Avg Loss = 2491.8198, Max Q-Value = 18.42, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 53: Reward = 157139.84, Avg Reward (100) = 57773.54, Epsilon = 0.995, Avg Loss = 2756.6724, Max Q-Value = 20.82, Steps = 68, Reward Breakdown -> Delta_x Reward: 245891.60, Border Penalty: 5550.00, Obstacle Penalty: 14750.02
Episode 54: Reward = -100.00, Avg Reward (100) = 59648.38, Epsilon = 0.995, Avg Loss = 2378.7803, Max Q-Value = 21.08, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 55: Reward = 1700.00, Avg Reward (100) = 58541.93, Epsilon = 0.995, Avg Loss = 2583.3097, Max Q-Value = 21.23, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 800.00
Episode 56: Reward = 500.00, Avg Reward (100) = 57508.44, Epsilon = 0.995, Avg Loss = 3299.6654, Max Q-Value = 21.32, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 57: Reward = 272910.38, Avg Reward (100) = 56490.43, Epsilon = 0.995, Avg Loss = 2697.4790, Max Q-Value = 28.86, Steps = 166, Reward Breakdown -> Delta_x Reward: 494839.08, Border Penalty: 13807.81, Obstacle Penalty: 41740.60
Episode 58: Reward = 22217.34, Avg Reward (100) = 60287.27, Epsilon = 0.995, Avg Loss = 2498.9910, Max Q-Value = 29.71, Steps = 25, Reward Breakdown -> Delta_x Reward: 56552.51, Border Penalty: 2100.00, Obstacle Penalty: 6885.16
Episode 59: Reward = 3844.43, Avg Reward (100) = 59630.89, Epsilon = 0.995, Avg Loss = 2583.9147, Max Q-Value = 30.05, Steps = 7, Reward Breakdown -> Delta_x Reward: 13694.43, Border Penalty: 900.00, Obstacle Penalty: 1400.00
Episode 60: Reward = 332959.09, Avg Reward (100) = 58685.36, Epsilon = 0.995, Avg Loss = 2732.6911, Max Q-Value = 30.26, Steps = 49, Reward Breakdown -> Delta_x Reward: 393667.52, Border Penalty: 0.00, Obstacle Penalty: 11708.48
Episode 61: Reward = 500.00, Avg Reward (100) = 63256.59, Epsilon = 0.995, Avg Loss = 3210.8928, Max Q-Value = 32.76, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 62: Reward = -100.00, Avg Reward (100) = 62227.79, Epsilon = 0.994, Avg Loss = 2366.8430, Max Q-Value = 32.81, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 63: Reward = 19883.31, Avg Reward (100) = 61222.50, Epsilon = 0.994, Avg Loss = 2725.7807, Max Q-Value = 34.67, Steps = 24, Reward Breakdown -> Delta_x Reward: 53093.44, Border Penalty: 1970.48, Obstacle Penalty: 6833.95
Episode 64: Reward = 52301.52, Avg Reward (100) = 60566.33, Epsilon = 0.994, Avg Loss = 2776.2173, Max Q-Value = 36.58, Steps = 49, Reward Breakdown -> Delta_x Reward: 121903.28, Border Penalty: 3300.00, Obstacle Penalty: 16951.76
Episode 65: Reward = 6520.92, Avg Reward (100) = 60437.19, Epsilon = 0.994, Avg Loss = 2689.9233, Max Q-Value = 37.23, Steps = 10, Reward Breakdown -> Delta_x Reward: 20120.92, Border Penalty: 1050.00, Obstacle Penalty: 2000.00
Episode 66: Reward = 279793.16, Avg Reward (100) = 59607.71, Epsilon = 0.994, Avg Loss = 2545.1378, Max Q-Value = 37.60, Steps = 89, Reward Breakdown -> Delta_x Reward: 393702.78, Border Penalty: 1050.00, Obstacle Penalty: 23859.63
Episode 67: Reward = 500.00, Avg Reward (100) = 62943.85, Epsilon = 0.994, Avg Loss = 3008.5983, Max Q-Value = 42.85, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 68: Reward = 1100.00, Avg Reward (100) = 62011.85, Epsilon = 0.994, Avg Loss = 2331.1059, Max Q-Value = 43.05, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 69: Reward = 2300.00, Avg Reward (100) = 61116.09, Epsilon = 0.994, Avg Loss = 2176.6518, Max Q-Value = 43.37, Steps = 5, Reward Breakdown -> Delta_x Reward: 9000.00, Border Penalty: 150.00, Obstacle Penalty: 1000.00
Episode 70: Reward = 118872.67, Avg Reward (100) = 60263.68, Epsilon = 0.994, Avg Loss = 2666.2172, Max Q-Value = 47.85, Steps = 72, Reward Breakdown -> Delta_x Reward: 212723.34, Border Penalty: 5550.00, Obstacle Penalty: 15750.68
Episode 71: Reward = 7870.92, Avg Reward (100) = 61100.96, Epsilon = 0.994, Avg Loss = 2491.7609, Max Q-Value = 48.95, Steps = 13, Reward Breakdown -> Delta_x Reward: 25520.92, Border Penalty: 1500.00, Obstacle Penalty: 2600.00
Episode 72: Reward = 279881.06, Avg Reward (100) = 60351.24, Epsilon = 0.994, Avg Loss = 2654.7385, Max Q-Value = 56.46, Steps = 102, Reward Breakdown -> Delta_x Reward: 415878.48, Border Penalty: 8320.05, Obstacle Penalty: 25175.01
Episode 73: Reward = 303368.53, Avg Reward (100) = 63400.26, Epsilon = 0.993, Avg Loss = 2655.8983, Max Q-Value = 56.25, Steps = 104, Reward Breakdown -> Delta_x Reward: 435467.00, Border Penalty: 3300.00, Obstacle Penalty: 24798.48
Episode 74: Reward = 262406.06, Avg Reward (100) = 66687.50, Epsilon = 0.993, Avg Loss = 2656.7168, Max Q-Value = 80.21, Steps = 157, Reward Breakdown -> Delta_x Reward: 477687.52, Border Penalty: 10800.00, Obstacle Penalty: 47131.32
Episode 75: Reward = 2944.43, Avg Reward (100) = 69332.34, Epsilon = 0.993, Avg Loss = 2101.0290, Max Q-Value = 79.05, Steps = 5, Reward Breakdown -> Delta_x Reward: 10094.43, Border Penalty: 600.00, Obstacle Penalty: 1000.00
Episode 76: Reward = -100.00, Avg Reward (100) = 68447.17, Epsilon = 0.993, Avg Loss = 2367.9595, Max Q-Value = 79.36, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 77: Reward = -100.00, Avg Reward (100) = 67545.23, Epsilon = 0.993, Avg Loss = 2105.0229, Max Q-Value = 79.46, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 78: Reward = 149166.45, Avg Reward (100) = 66666.73, Epsilon = 0.993, Avg Loss = 2596.8774, Max Q-Value = 79.55, Steps = 51, Reward Breakdown -> Delta_x Reward: 216564.55, Border Penalty: 3473.26, Obstacle Penalty: 12478.16
Episode 79: Reward = 52338.29, Avg Reward (100) = 67724.41, Epsilon = 0.993, Avg Loss = 2436.5445, Max Q-Value = 86.26, Steps = 38, Reward Breakdown -> Delta_x Reward: 104051.89, Border Penalty: 1689.40, Obstacle Penalty: 9396.26
Episode 80: Reward = 2644.43, Avg Reward (100) = 67529.65, Epsilon = 0.993, Avg Loss = 2454.4634, Max Q-Value = 88.90, Steps = 4, Reward Breakdown -> Delta_x Reward: 8294.43, Border Penalty: 300.00, Obstacle Penalty: 800.00
Episode 81: Reward = 14496.22, Avg Reward (100) = 66718.59, Epsilon = 0.993, Avg Loss = 2630.5966, Max Q-Value = 90.29, Steps = 18, Reward Breakdown -> Delta_x Reward: 38146.22, Border Penalty: 1500.00, Obstacle Penalty: 3600.00
Episode 82: Reward = 8194.43, Avg Reward (100) = 66073.87, Epsilon = 0.993, Avg Loss = 2479.0253, Max Q-Value = 92.84, Steps = 14, Reward Breakdown -> Delta_x Reward: 26294.43, Border Penalty: 750.00, Obstacle Penalty: 2800.00
Episode 83: Reward = 69757.65, Avg Reward (100) = 65368.02, Epsilon = 0.993, Avg Loss = 2477.4623, Max Q-Value = 95.34, Steps = 44, Reward Breakdown -> Delta_x Reward: 127099.97, Border Penalty: 3600.00, Obstacle Penalty: 9287.41
Episode 84: Reward = 43291.86, Avg Reward (100) = 65420.91, Epsilon = 0.992, Avg Loss = 2508.9696, Max Q-Value = 103.38, Steps = 35, Reward Breakdown -> Delta_x Reward: 90446.05, Border Penalty: 3150.00, Obstacle Penalty: 8654.18
Episode 85: Reward = 1100.00, Avg Reward (100) = 65157.47, Epsilon = 0.992, Avg Loss = 2371.0468, Max Q-Value = 102.18, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 86: Reward = 2944.43, Avg Reward (100) = 64403.85, Epsilon = 0.992, Avg Loss = 2738.7518, Max Q-Value = 102.46, Steps = 5, Reward Breakdown -> Delta_x Reward: 10094.43, Border Penalty: 600.00, Obstacle Penalty: 1000.00
Episode 87: Reward = -100.00, Avg Reward (100) = 63689.20, Epsilon = 0.992, Avg Loss = 2555.1743, Max Q-Value = 102.91, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 88: Reward = 500.00, Avg Reward (100) = 62956.00, Epsilon = 0.992, Avg Loss = 2733.4094, Max Q-Value = 103.14, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 89: Reward = 1100.00, Avg Reward (100) = 62246.27, Epsilon = 0.992, Avg Loss = 2953.0523, Max Q-Value = 103.58, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 90: Reward = 58360.14, Avg Reward (100) = 61559.23, Epsilon = 0.992, Avg Loss = 2452.4266, Max Q-Value = 113.28, Steps = 64, Reward Breakdown -> Delta_x Reward: 146193.32, Border Penalty: 8101.79, Obstacle Penalty: 15262.00
Episode 91: Reward = -100.00, Avg Reward (100) = 61523.69, Epsilon = 0.992, Avg Loss = 2698.8823, Max Q-Value = 111.88, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 92: Reward = 500.00, Avg Reward (100) = 60846.50, Epsilon = 0.992, Avg Loss = 2568.1194, Max Q-Value = 112.12, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 93: Reward = -100.00, Avg Reward (100) = 60190.56, Epsilon = 0.992, Avg Loss = 2467.2646, Max Q-Value = 112.29, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 94: Reward = 43897.61, Avg Reward (100) = 59542.28, Epsilon = 0.992, Avg Loss = 2464.4606, Max Q-Value = 116.55, Steps = 40, Reward Breakdown -> Delta_x Reward: 95297.61, Border Penalty: 2850.00, Obstacle Penalty: 8000.00
