Episode 1: Reward = -100.00, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 2: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 3: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 4: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 5: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 6: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 7: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 8: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 9: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 10: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 11: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
